Domain,Endpoint,Method,Auth,Status,Notes
Enterprise,/api/v1/fx-rates,GET,bearer,SPECIFIED — not implemented,Latest rate per currency with the date it was captured.
Enterprise,/api/v1/fx-rates,PUT,bearer,SPECIFIED — not implemented,Rates are versioned by date; conversions store the rate they used.
Enterprise,/api/v1/companies/tree,GET,bearer,SPECIFIED — not implemented,Full tree with group rollups converted into the reporting currency.
Enterprise,/api/v1/companies/{id}/rollup,GET,bearer,SPECIFIED — not implemented,Own value and group value across every company beneath this one.
Enterprise,/api/v1/companies/{id}/parent,PUT,bearer,SPECIFIED — not implemented,Rejected if it would create a cycle; enforced by a database trigger as well as the API.
Enterprise,/api/v1/field-policies,GET,bearer,SPECIFIED — not implemented,"Which fields are public, contact, internal or financial."
Enterprise,/api/v1/field-policies,PUT,bearer,SPECIFIED — not implemented,Update field sensitivity
Enterprise,/api/v1/role-field-access,GET,bearer,SPECIFIED — not implemented,Role access matrix
Enterprise,/api/v1/role-field-access,PUT,bearer,SPECIFIED — not implemented,"A role that cannot view a class never receives those fields, including through export."
Enterprise,/api/v1/locales,GET,bearer,SPECIFIED — not implemented,Includes text direction so right to left languages flip the layout.
Enterprise,/api/v1/queues,GET,bearer,SPECIFIED — not implemented,Routing queues
Enterprise,/api/v1/queues,POST,bearer,SPECIFIED — not implemented,Create a queue
Enterprise,/api/v1/queues/{id},PATCH,bearer,SPECIFIED — not implemented,Update a queue
Enterprise,/api/v1/shifts,GET,bearer,SPECIFIED — not implemented,Shift roster
Enterprise,/api/v1/shifts,POST,bearer,SPECIFIED — not implemented,Create a shift
Enterprise,/api/v1/shifts/on-duty,GET,bearer,SPECIFIED — not implemented,Used by routing so conversations are never assigned to someone who is off.
Enterprise,/api/v1/conversations/{id}/route,POST,bearer,SPECIFIED — not implemented,"Matches a queue by channel and intent, then a member who is on shift. Escalates to the queue fallback when nob"
Enterprise,/api/v1/conversations/{id}/viewers,GET,bearer,SPECIFIED — not implemented,Collision detection so two agents do not reply at once.
Enterprise,/api/v1/conversations/{id}/viewers,POST,bearer,SPECIFIED — not implemented,Register as viewing
Enterprise,/api/v1/appointments/recurrence,POST,bearer,SPECIFIED — not implemented,Expands to individual appointments; each occurrence can be detached and edited without changing the series.
Enterprise,/api/v1/appointments/{id}/detach,POST,bearer,SPECIFIED — not implemented,Detach one occurrence
Enterprise,/api/v1/appointments/recurrence/{id},DELETE,bearer,SPECIFIED — not implemented,Future occurrences only; past ones are kept as history.
